timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
111591169416307,276,HTTP请求,200,OK,fm 接口测试 1-3,text,true,,29415,166,5,5,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,271,0,54
1591169416297,366,HTTP请求,200,OK,fm 接口测试 1-1,text,true,,29415,166,5,5,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,366,0,65
1591169416297,370,HTTP请求,200,OK,fm 接口测试 1-2,text,true,,29415,166,4,4,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,369,0,63
1591169416411,260,HTTP请求,200,OK,fm 接口测试 1-4,text,true,,29415,166,3,3,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,260,0,1
1591169416512,261,HTTP请求,200,OK,fm 接口测试 1-5,text,true,,29415,166,3,3,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,261,0,1
1591169416608,258,HTTP请求,200,OK,fm 接口测试 1-6,text,true,,29415,166,3,3,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,258,0,1
1591169416717,162,HTTP请求,200,OK,fm 接口测试 1-7,text,true,,29415,166,2,2,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,162,0,2
1591169416809,146,HTTP请求,200,OK,fm 接口测试 1-8,text,true,,29415,166,2,2,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,146,0,1
1591169416921,129,HTTP请求,200,OK,fm 接口测试 1-9,text,true,,29415,166,2,2,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,128,0,1
1591169417009,51,HTTP请求,200,OK,fm 接口测试 1-10,text,true,,29415,166,1,1,http://localhost:7011/api/dashboard/h5/perfumeProduct?page=1&limit=20,51,0,1
111
